,Formulas
696,B72 O10
697,Y4 B16
698,Sn1 B6
699,Pr2 B6
700,Ag1 B2
701,B8 Rh10
702,Li2 B1
703,Y1 B12
704,B56 H80
705,Na2 B30
706,B18 C2
707,B9 C1
708,B40 H64
709,B2 Rh2
710,B2 Rh2
711,Sn2 B2
712,Pu1 B12
713,Ti4 B4
714,Ti1 B1
715,B13 P2
716,Si1 B6
717,Na2 B29
718,K6 B34
719,B4 Os2
720,Bi4 B20
721,B12 O2
722,Sn3 B1
723,Sn3 B1
724,Sn3 B1
725,B2 C2
726,B1 C1
727,Sm1 B12
728,B18 Cl18
729,B32 Cl32
730,B8 Cl8
731,B48 Cl48
732,Pr1 B6
733,Ga6 B2
734,Ga3 B1
735,Ce4 B16
736,Zr1 B2
737,Pu4 B16
738,Nb3 B4
739,B2 Pt3
740,Al23 B50
741,B4 F8
742,B64 H96
743,Nd1 B4
744,Nd1 B4
745,Nd4 B16
746,Hg1 B6
747,Li4 B4
748,Li4 B4
749,Li2 B2
750,Li2 B2
751,Li2 B2
752,Nb2 B2
753,Gd8 B20
754,B1 Pd4
755,Th4 B30
756,Pu1 B2
757,V3 B4
758,Mg2 B6
759,B2 As2
760,B1 As1
761,Tb1 B2
762,B24 Mo7
763,Co23 B6
764,Ho1 B12
765,Ca4 B16
766,Lu1 B6
767,Re8 B8
768,Cr2 B8
769,Cr1 B4
770,Sc1 B2
771,Sc2 B4
772,Gd1 B2
773,B2 P2
774,B1 P1
775,Ni2 B2
776,Nb5 B6
777,Gd1 B12
778,La4 H9
779,La20 Ir12
780,La3 Br1
781,La3 Mg3
782,La3 Mg3
783,La3 Mg3
784,La3 Mg3
785,La3 Mg3
786,La2 Mg2
787,La1 Mg1
788,La1 Ni5
789,La8 Ir2
790,La4 Mg1
791,La8 Mg2
792,La4 S7
793,La6 Pd8
794,La4 Cu24
795,La4 Cu24
796,La2 P6
797,La8 As6
798,La4 Se4
799,La2 Se2
800,La1 Se1
801,La1 Se1
802,Li2 La6
803,Li1 La3
