Angles Q Intensities I_err N
6.674972222 2.0016165716599335 0.0 0.0 40.0
6.683472222 2.0041538934000056 0.0 0.0 30.0
6.691972222 2.00669117103144 0.0 0.0 70.0
6.700472222 2.0092284044983937 0.0 0.0 50.0
6.708972222 2.0117655937450256 0.0 0.0 20.0
6.717472222 2.0143027387154966 0.0 0.0 40.0
6.725972222 2.016839839353967 0.0 0.0 60.0
6.734472222 2.0193768956045988 0.0 0.0 80.0
6.742972222 2.021913907411555 0.0 0.0 30.0
6.751472222 2.0244508747189998 0.0 0.0 10.0
6.759972222 2.0269877974710973 0.0 0.0 70.0
6.768472222 2.0295246756120138 0.0 0.0 60.0
6.776972222 2.032061509085917 0.0 0.0 60.0
6.785472222 2.034598297836973 0.0 0.0 30.0
6.793972222 2.0371350418093517 0.0 0.0 40.0
6.802472222 2.0396717409472234 0.0 0.0 20.0
6.810972222 2.042208395194758 0.0 0.0 90.0
6.819472222 2.044745004496127 0.0 0.0 40.0
6.827972222 2.047281568795504 0.0 0.0 40.0
6.836472222 2.0498180880370622 0.0 0.0 100.0
6.844972222 2.0523545621649766 0.0 0.0 20.0
6.853472222 2.0548909911234228 0.0 0.0 60.0
6.861972222 2.0574273748565775 0.0 0.0 30.0
6.870472222 2.0599637133086186 0.0 0.0 50.0
6.878972222 2.062500006423724 0.0 0.0 30.0
6.887472222 2.065036254146076 0.0 0.0 50.0
6.895972222 2.0675724564198523 0.0 0.0 20.0
6.904472222 2.0701086131892357 0.0 0.0 80.0
6.912972222 2.0726447243984087 0.0 0.0 50.0
6.921472222 2.075180789991556 0.0 0.0 80.0
6.929972222 2.077716809912862 0.0 0.0 40.0
6.938472222 2.0802527841065106 0.0 0.0 40.0
6.946972222 2.0827887125166913 0.0 0.0 40.0
6.955472222 2.08532459508759 0.0 0.0 70.0
6.963972222 2.087860431763396 0.0 0.0 50.0
6.972472222 2.0903962224882995 0.0 0.0 70.0
6.980972222 2.0929319672064906 0.0 0.0 10.0
6.989472222 2.095467665862161 0.0 0.0 80.0
6.997972222 2.0980033183995044 0.0 0.0 70.0
7.006472222 2.1005389247627138 0.0 0.0 30.0
7.014972222 2.1030744848959846 0.0 0.0 40.0
7.023472222 2.1056099987435117 0.0 0.0 40.0
7.031972222 2.108145466249493 0.0 0.0 70.0
7.040472222 2.110680887358126 0.0 0.0 30.0
7.048972222 2.1132162620136095 0.0 0.0 40.0
7.057472222 2.1157515901601434 0.0 0.0 60.0
7.065972222 2.1182868717419288 0.0 0.0 60.0
7.074472222 2.120822106703168 0.0 0.0 50.0
7.082972222 2.1233572949880632 0.0 0.0 40.0
7.091472222 2.125892436540819 0.0 0.0 50.0
7.099972222 2.1284275313056407 0.0 0.0 70.0
7.108472222 2.1309625792267335 0.0 0.0 60.0
7.116972222 2.133497580248306 0.0 0.0 40.0
7.125472222 2.1360325343145647 0.0 0.0 60.0
7.133972222 2.1385674413697195 0.0 0.0 60.0
7.142472222 2.1411023013579813 0.0 0.0 60.0
7.150972222 2.1436371142235604 0.0 0.0 90.0
7.159472222 2.146171879910669 0.0 0.0 80.0
7.167972222 2.1487065983635216 0.0 0.0 40.0
7.176472222 2.151241269526331 0.0 0.0 30.0
7.184972222 2.1537758933433135 0.0 0.0 50.0
7.193472222 2.156310469758686 0.0 0.0 40.0
7.201972222 2.158844998716665 0.0 0.0 10.0
7.210472222 2.1613794801614694 0.0 0.0 40.0
7.218972222 2.1639139140373196 0.0 0.0 50.0
7.227472222 2.1664483002884354 0.0 0.0 50.0
7.235972222 2.1689826388590383 0.0 0.0 50.0
7.244472222 2.171516929693352 0.0 0.0 40.0
7.252972222 2.1740511727355996 0.0 0.0 50.0
7.261472222 2.1765853679300053 0.0 0.0 50.0
7.269972222 2.179119515220796 0.0 0.0 30.0
7.278472222 2.1816536145521983 0.0 0.0 50.0
7.286972222 2.18418766586844 0.0 0.0 80.0
7.295472222 2.18672166911375 0.0 0.0 80.0
7.303972222 2.1892556242323598 0.0 0.0 80.0
7.312472222 2.1917895311684994 0.0 0.0 20.0
7.320972222 2.194323389866401 0.0 0.0 10.0
7.329472222 2.1968572002702977 0.0 0.0 20.0
7.337972222 2.199390962324425 0.0 0.0 50.0
7.346472222 2.201924675973017 0.0 0.0 50.0
7.354972222 2.2044583411603114 0.0 0.0 70.0
7.363472222 2.206991957830545 0.0 0.0 50.0
7.371972222 2.209525525927956 0.0 0.0 80.0
7.380472222 2.212059045396785 0.0 0.0 30.0
7.388972222 2.214592516181272 0.0 0.0 60.0
7.397472222 2.21712593822566 0.0 0.0 30.0
7.405972222 2.219659311474191 0.0 0.0 20.0
